id	A	B	label
n25	t18,t22,t24	t1,t2,t3,t4,t5,t6,t7,t8,t9,OUT,t10,t11,t12,t13,t14,t15,t16,t17,t19,t20,t21,t23,t25	0
n26	t1,t2,t4,t5,t6,t7,t8,t9,t10,t11,t12,t14,t15,t16,t17,t21,t22,t24,t25	t3,OUT,t13,t18,t19,t20,t23	0
n27	t3,t4,t6,t7,t9,t12,t13,t14,t15,t17,t18,t19,t22,t24	t1,t2,t5,t8,OUT,t10,t11,t16,t20,t21,t23,t25	0
n28	t1,t2,t4,t6,t9,t10,t13,t16,t17,t19,t23,t24,t25	t3,t5,t7,t8,OUT,t11,t12,t14,t15,t18,t20,t21,t22	0
n29	t8,t12,t13,t17,t18,t19,t20,t25	t1,t2,t3,t4,t5,t6,t7,t9,OUT,t10,t11,t14,t15,t16,t21,t22,t23,t24	0
n30	t1,t5,t6,t7,t8,t9,t10,t13,t16,t17,t18,t19,t20,t21,t22,t25	t2,t3,t4,OUT,t11,t12,t14,t15,t23,t24	0
n31	t1,t12,t14,t16,t17,t18,t22,t24	t2,t3,t4,t5,t6,t7,t8,t9,OUT,t10,t11,t13,t15,t19,t20,t21,t23,t25	0
n32	t1,t2,t3,t4,t5,t6,t8,t9,t10,t11,t13,t15,t18,t20,t21,t22,t23,t24,t25	t7,OUT,t12,t14,t16,t17,t19	0
n33	t9,t25	t1,t2,t3,t4,t5,t6,t7,t8,OUT,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24	0
n34	t3,t4,t6,t9,t10,t12,t18,t20,t22	t1,t2,t5,t7,t8,OUT,t11,t13,t14,t15,t16,t17,t19,t21,t23,t24,t25	0
n35	t6,t9,t10,t11,t15,t16,t17,t21,t22,t25	t1,t2,t3,t4,t5,t7,t8,OUT,t12,t13,t14,t18,t19,t20,t23,t24	0
n36	t1,t10,t11,t13,t14	t2,t3,t4,t5,t6,t7,t8,t9,OUT,t12,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25	0
n37	t1,t4,t7,t9,t14,t17,t20,t25	t2,t3,t5,t6,t8,OUT,t10,t11,t12,t13,t15,t16,t18,t19,t21,t22,t23,t24	0
n38	t1,t2,t5,t6,t8,t13,t14,t15,t17	t3,t4,t7,t9,OUT,t10,t11,t12,t16,t18,t19,t20,t21,t22,t23,t24,t25	0
n39	t1,t2,t3,t4,t5,t7,t8,t9,t11,t12,t13,t14,t15,t16,t17,t19,t20,t21,t22,t23,t24,t25	t6,OUT,t10,t18	0
n40	t1,t2,t4,t5,t6,t7,t8,t9,t10,t11,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23	t3,OUT,t12,t13,t24,t25	0
n41	t1,t3,t4,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25	t2,t5,OUT	0
n42	t2,t3,t4,t5,t6,t8,t9,t16,t18,t20,t22,t24,t25	t1,t7,OUT,t10,t11,t12,t13,t14,t15,t17,t19,t21,t23	0
n43	t4,t9,t10,t11,t12,t17,t19,t20,t24,t25	t1,t2,t3,t5,t6,t7,t8,OUT,t13,t14,t15,t16,t18,t21,t22,t23	0
n44	t2,t4,t5,t11,t16,t18,t19,t20,t23	t1,t3,t6,t7,t8,t9,OUT,t10,t12,t13,t14,t15,t17,t21,t22,t24,t25	0
n45	t2,t3,t4,t5,t6,t8,t10,t11,t13,t18,t19,t22,t23,t24,t25	t1,t7,t9,OUT,t12,t14,t15,t16,t17,t20,t21	0
n46	t1,t2,t3,t4,t7,t9,t10,t11,t12,t13,t15,t16,t17,t18,t19,t20,t21,t23,t24,t25	t5,t6,t8,OUT,t14,t22	0
n47	t4,t6,t8,t13,t14,t18,t22	t1,t2,t3,t5,t7,t9,OUT,t10,t11,t12,t15,t16,t17,t19,t20,t21,t23,t24,t25	0
n48	t1,t2,t4,t7,t9,t11,t16,t18,t21,t22,t23	t3,t5,t6,t8,OUT,t10,t12,t13,t14,t15,t17,t19,t20,t24,t25	0
n49	t3,t10,t11,t13,t15,t18,t20,t21,t23,t24,t25	t1,t2,t4,t5,t6,t7,t8,t9,OUT,t12,t14,t16,t17,t19,t22	0
n50	t2,t4,t5,t6,t7,t9,t12,t14,t15,t16,t17,t18,t20,t23,t24,t25	t1,t3,t8,OUT,t10,t11,t13,t19,t21,t22	0
n51	t3,t15,t21,t25	t1,t2,t4,t5,t6,t7,t8,t9,OUT,t10,t11,t12,t13,t14,t16,t17,t18,t19,t20,t22,t23,t24	0
n52	t1,t2,t4,t6,t8,t9,t10,t11,t12,t13,t15,t16,t17,t18,t19,t20,t21,t22,t24,t25	t3,t5,t7,OUT,t14,t23	0
n53	t1,t3,t9,t10,t13,t18,t19,t21,t24	t2,t4,t5,t6,t7,t8,OUT,t11,t12,t14,t15,t16,t17,t20,t22,t23,t25	0
